chain,cumulative_txs,share_of_indexed_chains_pct,table_as_of
Base,84969790,51.6499,2026-08-19T10:27:46.041211Z
Solana,48235859,29.3208,2026-08-19T10:27:46.041211Z
Polygon,29472684,17.9153,2026-08-19T10:27:46.041211Z
BNB,910185,0.5533,2026-08-19T10:27:46.041211Z
Celo,760020,0.462,2026-08-19T10:27:46.041211Z
Xlayer,134206,0.0816,2026-08-19T10:27:46.041211Z
Monad,21010,0.0128,2026-08-19T10:27:46.041211Z
Avalanche,4979,0.003,2026-08-19T10:27:46.041211Z
Arbitrum,1442,0.0009,2026-08-19T10:27:46.041211Z
Ethereum,522,0.0003,2026-08-19T10:27:46.041211Z
Sei,145,0.0001,2026-08-19T10:27:46.041211Z
Optimism,138,0.0001,2026-08-19T10:27:46.041211Z
UNALLOCATED_SINCE_TABLE,21340260,,2026-09-08T01:56:29.725345Z
