day,x402_txs
2026-07-26,194778
2026-07-27,200139
2026-07-28,197331
2026-07-29,202758
2026-07-30,193897
2026-07-31,198697
2026-08-01,198067
2026-08-02,186203
2026-08-03,192344
2026-08-04,188745
2026-08-05,192196
2026-08-06,187162
2026-08-07,192313
2026-08-08,190645
2026-08-09,190572
2026-08-10,184795
2026-08-11,186732
2026-08-12,189239
2026-08-13,226057
2026-08-14,212131
2026-08-15,220193
2026-08-16,248660
2026-08-17,189888
2026-08-18,213093
2026-08-19,743058
2026-08-20,952531
2026-08-21,859255
2026-08-22,972888
2026-08-23,584062
2026-08-24,238890
2026-08-25,1705132
2026-08-26,1467034
2026-08-27,1528992
2026-08-28,1256764
2026-08-29,1285303
2026-08-30,1244492
2026-08-31,1359228
2026-09-01,1906277
2026-09-02,1453415
2026-09-03,1124974
2026-09-04,861356
2026-09-05,715515
2026-09-06,765871
2026-09-07,938804
2026-09-08,14604
